drugId,targetId,smiles,prefName
CHEMBL1683590,ENSG00000137285,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,ERIBULIN
CHEMBL1683590,ENSG00000176014,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,ERIBULIN
CHEMBL1683590,ENSG00000188229,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,ERIBULIN
CHEMBL1683590,ENSG00000196230,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,ERIBULIN
CHEMBL1683590,ENSG00000258947,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,ERIBULIN
CHEMBL1683590,ENSG00000261456,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,ERIBULIN
CHEMBL1684,ENSG00000070915,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,BENDROFLUMETHIAZIDE
CHEMBL1685,ENSG00000082556,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N,DEZOCINE
CHEMBL1685,ENSG00000112038,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N,DEZOCINE
CHEMBL1690,ENSG00000196664,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O,HYDROXYCHLOROQUINE SULFATE
CHEMBL1690,ENSG00000239732,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=S(=O)(O)O,HYDROXYCHLOROQUINE SULFATE
CHEMBL1691,ENSG00000043591,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl,BETAXOLOL HYDROCHLORIDE
CHEMBL1692,ENSG00000103546,CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl,IMIPRAMINE HYDROCHLORIDE
CHEMBL1692,ENSG00000108576,CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl,IMIPRAMINE HYDROCHLORIDE
CHEMBL1693,ENSG00000103546,CCN(CC)C(C)C(=O)c1ccccc1.Cl,DIETHYLPROPION HYDROCHLORIDE
CHEMBL1693,ENSG00000142319,CCN(CC)C(C)C(=O)c1ccccc1.Cl,DIETHYLPROPION HYDROCHLORIDE
CHEMBL1694,ENSG00000159640,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl,BENAZEPRIL HYDROCHLORIDE
CHEMBL1695,ENSG00000157103,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C.Cl,TIAGABINE HYDROCHLORIDE
CHEMBL1696,ENSG00000103546,CNCCCN1c2ccccc2CCc2ccccc21.Cl,DESIPRAMINE HYDROCHLORIDE
CHEMBL1697,ENSG00000081248,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,DILTIAZEM HYDROCHLORIDE
CHEMBL1697,ENSG00000102001,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,DILTIAZEM HYDROCHLORIDE
CHEMBL1697,ENSG00000151067,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,DILTIAZEM HYDROCHLORIDE
CHEMBL1697,ENSG00000157388,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl,DILTIAZEM HYDROCHLORIDE
CHEMBL1697737,ENSG00000011677,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,CLOTIAZEPAM
CHEMBL1697737,ENSG00000022355,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,CLOTIAZEPAM
CHEMBL1697737,ENSG00000113327,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,CLOTIAZEPAM
CHEMBL1697737,ENSG00000151834,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,CLOTIAZEPAM
CHEMBL1697737,ENSG00000163285,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,CLOTIAZEPAM
CHEMBL1697737,ENSG00000182256,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,CLOTIAZEPAM
CHEMBL1697737,ENSG00000186297,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl,CLOTIAZEPAM
CHEMBL1698,ENSG00000103546,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,BUPROPION HYDROCHLORIDE
