drugId,targetId,smiles,prefName
CHEMBL655,ENSG00000186297,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,MIDAZOLAM
CHEMBL660,ENSG00000198785,NC12CC3CC(CC(C3)C1)C2,AMANTADINE
CHEMBL661,ENSG00000022355,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,ALPRAZOLAM
CHEMBL661,ENSG00000163285,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,ALPRAZOLAM
CHEMBL661,ENSG00000186297,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,ALPRAZOLAM
CHEMBL667,ENSG00000133019,CC(=O)OCC[N+](C)(C)C,ACETYLCHOLINE
CHEMBL672,ENSG00000186951,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,FENOFIBRATE
CHEMBL673,ENSG00000069535,C#CCN(C)Cc1ccccc1,PARGYLINE
CHEMBL686,ENSG00000073756,Cc1cccc(Nc2ccccc2C(=O)O)c1C,MEFENAMIC ACID
CHEMBL691,ENSG00000091831,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,ETHINYL ESTRADIOL
CHEMBL6966,ENSG00000151067,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,VERAPAMIL
CHEMBL6966,ENSG00000157388,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,VERAPAMIL
CHEMBL698,ENSG00000169432,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,TETRACAINE
CHEMBL704,ENSG00000073756,Nc1ccc(O)c(C(=O)O)c1,MESALAMINE
CHEMBL704,ENSG00000132170,Nc1ccc(O)c(C(=O)O)c1,MESALAMINE
CHEMBL705,ENSG00000077092,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,ALITRETINOIN
CHEMBL705,ENSG00000131759,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,ALITRETINOIN
CHEMBL705,ENSG00000143171,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,ALITRETINOIN
CHEMBL705,ENSG00000172819,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,ALITRETINOIN
CHEMBL705,ENSG00000186350,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,ALITRETINOIN
CHEMBL708,ENSG00000147246,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,ZIPRASIDONE
CHEMBL714,ENSG00000169252,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,ALBUTEROL
CHEMBL715,ENSG00000147246,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,OLANZAPINE
CHEMBL716,ENSG00000147246,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,QUETIAPINE
CHEMBL723,ENSG00000169252,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,CARVEDILOL
CHEMBL741,ENSG00000169432,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,LAMOTRIGINE
CHEMBL744,ENSG00000169432,Nc1nc2ccc(OC(F)(F)F)cc2s1,RILUZOLE
CHEMBL750,ENSG00000169432,NS(=O)(=O)Cc1noc2ccccc12,ZONISAMIDE
CHEMBL753,ENSG00000150594,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,PHENOXYBENZAMINE
CHEMBL753,ENSG00000184160,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,PHENOXYBENZAMINE
CHEMBL75435,ENSG00000073756,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,DEXKETOPROFEN
