pert_id,pert_iname,pert_type
TRCN0000002923,PTP4A1,trt_sh
TRCN0000320367,PTP4A1,trt_sh
TRCN0000320368,PTP4A1,trt_sh
TRCN0000320441,PTP4A1,trt_sh
TRCN0000320442,PTP4A1,trt_sh
TRCN0000350250,PTP4A1,trt_sh
TRCN0000355518,PTP4A1,trt_sh
TRCN0000355520,PTP4A1,trt_sh
TRCN0000355568,PTP4A1,trt_sh
TRCN0000002832,PTPN12,trt_sh
TRCN0000005418,RIOK3,trt_sh
TRCN0000005419,RIOK3,trt_sh
TRCN0000005420,RIOK3,trt_sh
TRCN0000005421,RIOK3,trt_sh
TRCN0000194747,RIOK3,trt_sh
TRCN0000194900,RIOK3,trt_sh
TRCN0000195009,RIOK3,trt_sh
TRCN0000195187,RIOK3,trt_sh
TRCN0000195503,RIOK3,trt_sh
TRCN0000196572,RIOK3,trt_sh
TRCN0000197149,RIOK3,trt_sh
TRCN0000342665,RIOK3,trt_sh
TRCN0000128343,ZBTB41,trt_sh
TRCN0000131190,ZBTB41,trt_sh
TRCN0000147706,ZBTB41,trt_sh
TRCN0000147889,ZBTB41,trt_sh
TRCN0000148276,ZBTB41,trt_sh
TRCN0000148580,ZBTB41,trt_sh
TRCN0000149075,ZBTB41,trt_sh
TRCN0000244940,ZBTB41,trt_sh
TRCN0000244941,ZBTB41,trt_sh
TRCN0000244942,ZBTB41,trt_sh
TRCN0000244943,ZBTB41,trt_sh
TRCN0000244944,ZBTB41,trt_sh
TRCN0000006027,AK3,trt_sh
TRCN0000337452,AKR1C2,trt_sh
TRCN0000027214,ALDH9A1,trt_sh
TRCN0000142935,CHMP2A,trt_sh
TRCN0000310112,EGFR,trt_sh
TRCN0000006170,GNE,trt_sh
TRCN0000256365,KIF11,trt_sh
TRCN0000072418,LMNB2,trt_sh
TRCN0000072419,LMNB2,trt_sh
TRCN0000049186,MPI,trt_sh
TRCN0000365266,MPI,trt_sh
TRCN0000377543,MPI,trt_sh
TRCN0000122686,NDUFAF4,trt_sh
TRCN0000296825,NPTN,trt_sh
TRCN0000229841,NUDT5,trt_sh
TRCN0000281555,NUDT5,trt_sh
TRCN0000282372,NUDT5,trt_sh
TRCN0000006179,PGK1,trt_sh
TRCN0000006181,PGK1,trt_sh
TRCN0000052752,PHACTR1,trt_sh
TRCN0000195728,PRKRA,trt_sh
TRCN0000196476,PRKRA,trt_sh
TRCN0000001618,PTK2,trt_sh
TRCN0000121317,PTK2,trt_sh
TRCN0000140747,PTMS,trt_sh
TRCN0000129048,ZBTB41,trt_sh
TRCN0000129908,ZBTB41,trt_sh
TRCN0000199861,RIOK3,trt_sh
CMAP-ERGK-001,ERG,trt_sh
TRCN0000036073,ACAA1,trt_sh
TRCN0000045913,ACSL6,trt_sh
TRCN0000045915,ACSL6,trt_sh
TRCN0000045917,ACSL6,trt_sh
TRCN0000276219,ACTB,trt_sh
TRCN0000276220,ACTB,trt_sh
TRCN0000349687,ACTB,trt_sh
TRCN0000026422,ADH5,trt_sh
TRCN0000288787,AKT1,trt_sh
TRCN0000295914,AKT1,trt_sh
TRCN0000295915,AKT1,trt_sh
TRCN0000237828,APC,trt_sh
TRCN0000237830,APC,trt_sh
TRCN0000244294,APC,trt_sh
TRCN0000118905,ASPM,trt_sh
TRCN0000291125,ASPM,trt_sh
TRCN0000296796,ASPM,trt_sh
TRCN0000039948,ATM,trt_sh
TRCN0000194861,ATM,trt_sh
TRCN0000195474,ATM,trt_sh
TRCN0000039615,ATR,trt_sh
TRCN0000219647,ATR,trt_sh
TRCN0000344499,ATR,trt_sh
TRCN0000003729,ATXN1,trt_sh
TRCN0000003730,ATXN1,trt_sh
TRCN0000003732,ATXN1,trt_sh
TRCN0000061801,AXIN1,trt_sh
TRCN0000327919,AXIN1,trt_sh
TRCN0000051321,BACE2,trt_sh
TRCN0000356324,BCL9,trt_sh
TRCN0000356325,BCL9,trt_sh
TRCN0000356398,BCL9,trt_sh
TRCN0000058208,BDNF,trt_sh
TRCN0000371395,BDNF,trt_sh
TRCN0000073718,BIRC5,trt_sh
TRCN0000019286,BRD1,trt_sh
TRCN0000019287,BRD1,trt_sh
TRCN0000233206,BRD1,trt_sh
TRCN0000275319,C10ORF26,trt_sh
TRCN0000275362,C10ORF26,trt_sh
TRCN0000282025,C10ORF26,trt_sh
TRCN0000044673,CACNA1C,trt_sh
TRCN0000044674,CACNA1C,trt_sh
TRCN0000044676,CACNA1C,trt_sh
TRCN0000299931,CDC42,trt_sh
TRCN0000303773,CDC42,trt_sh
TRCN0000303774,CDC42,trt_sh
TRCN0000355700,CDKL5,trt_sh
TRCN0000368296,CDKL5,trt_sh
TRCN0000368312,CDKL5,trt_sh
TRCN0000007232,CFLAR,trt_sh
TRCN0000033753,CGRRF1,trt_sh
TRCN0000021360,CHD4,trt_sh
TRCN0000021363,CHD4,trt_sh
TRCN0000319289,CHD4,trt_sh
TRCN0000000807,CSK,trt_sh
TRCN0000005993,CSMD1,trt_sh
TRCN0000005994,CSMD1,trt_sh
TRCN0000005995,CSMD1,trt_sh
TRCN0000013738,CTBP1,trt_sh
TRCN0000013742,CTBP1,trt_sh
TRCN0000273905,CTBP1,trt_sh
TRCN0000314921,CTNNB1,trt_sh
TRCN0000314990,CTNNB1,trt_sh
TRCN0000314991,CTNNB1,trt_sh
TRCN0000121293,DDR1,trt_sh
TRCN0000295864,DDR1,trt_sh
TRCN0000295865,DDR1,trt_sh
TRCN0000118998,DISC1,trt_sh
TRCN0000118999,DISC1,trt_sh
TRCN0000119000,DISC1,trt_sh
TRCN0000134516,DIXDC1,trt_sh
TRCN0000137219,DIXDC1,trt_sh
TRCN0000137860,DIXDC1,trt_sh
TRCN0000033386,DKK1,trt_sh
TRCN0000033388,DKK1,trt_sh
TRCN0000296460,DKK1,trt_sh
TRCN0000035754,DNMT3A,trt_sh
TRCN0000035756,DNMT3A,trt_sh
TRCN0000035757,DNMT3A,trt_sh
TRCN0000053578,DRP2,trt_sh
TRCN0000053579,DRP2,trt_sh
TRCN0000053580,DRP2,trt_sh
TRCN0000033343,DVL2,trt_sh
TRCN0000300446,DVL2,trt_sh
TRCN0000300447,DVL2,trt_sh
TRCN0000010475,EZH2,trt_sh
TRCN0000018365,EZH2,trt_sh
TRCN0000040076,EZH2,trt_sh
TRCN0000118338,FBXL4,trt_sh
TRCN0000118340,FBXL4,trt_sh
TRCN0000118341,FBXL4,trt_sh
TRCN0000059758,FMR1,trt_sh
TRCN0000059760,FMR1,trt_sh
TRCN0000298271,FMR1,trt_sh
TRCN0000020803,FOXJ3,trt_sh
TRCN0000010450,FUS,trt_sh
TRCN0000039824,FUS,trt_sh
TRCN0000288705,FUS,trt_sh
TRCN0000039565,GSK3B,trt_sh
TRCN0000039999,GSK3B,trt_sh
TRCN0000040001,GSK3B,trt_sh
TRCN0000073281,H2AFX,trt_sh
TRCN0000364319,H2AFX,trt_sh
TRCN0000368904,H2AFX,trt_sh
TRCN0000004814,HDAC1,trt_sh
TRCN0000318656,HDAC1,trt_sh
TRCN0000349638,HDAC1,trt_sh
TRCN0000004860,HDAC10,trt_sh
TRCN0000195578,HDAC10,trt_sh
TRCN0000195664,HDAC10,trt_sh
TRCN0000017753,HDAC11,trt_sh
TRCN0000197158,HDAC11,trt_sh
TRCN0000199149,HDAC11,trt_sh
TRCN0000004819,HDAC2,trt_sh
TRCN0000004823,HDAC2,trt_sh
TRCN0000195198,HDAC2,trt_sh
TRCN0000004828,HDAC3,trt_sh
TRCN0000199964,HDAC3,trt_sh
TRCN0000314665,HDAC4,trt_sh
TRCN0000314667,HDAC4,trt_sh
TRCN0000314735,HDAC4,trt_sh
TRCN0000004835,HDAC5,trt_sh
TRCN0000004836,HDAC5,trt_sh
TRCN0000004838,HDAC5,trt_sh
TRCN0000004840,HDAC6,trt_sh
TRCN0000314910,HDAC6,trt_sh
TRCN0000314976,HDAC6,trt_sh
TRCN0000195442,HDAC7,trt_sh
TRCN0000255686,HDAC7,trt_sh
TRCN0000255687,HDAC7,trt_sh
TRCN0000314871,HDAC8,trt_sh
TRCN0000314872,HDAC8,trt_sh
TRCN0000350469,HDAC8,trt_sh
TRCN0000195059,HDAC9,trt_sh
TRCN0000277763,HDAC9,trt_sh
TRCN0000277764,HDAC9,trt_sh
TRCN0000037658,HK1,trt_sh
TRCN0000357445,HTR2C,trt_sh
TRCN0000378251,HTR2C,trt_sh
TRCN0000378358,HTR2C,trt_sh
TRCN0000044085,KCNA2,trt_sh
TRCN0000044086,KCNA2,trt_sh
TRCN0000044087,KCNA2,trt_sh
TRCN0000046068,KDM1A,trt_sh
TRCN0000327930,KDM1A,trt_sh
TRCN0000327932,KDM1A,trt_sh
TRCN0000013495,KDM4A,trt_sh
TRCN0000234910,KDM4A,trt_sh
TRCN0000234913,KDM4A,trt_sh
TRCN0000236677,KDM6B,trt_sh
TRCN0000360034,KDM6B,trt_sh
TRCN0000367906,KDM6B,trt_sh
TRCN0000144514,KIAA1267,trt_sh
TRCN0000369821,KIAA1267,trt_sh
TRCN0000369822,KIAA1267,trt_sh
TRCN0000020159,LEF1,trt_sh
TRCN0000020161,LEF1,trt_sh
TRCN0000020163,LEF1,trt_sh
TRCN0000060364,MBOAT7,trt_sh
TRCN0000021241,MECP2,trt_sh
TRCN0000021242,MECP2,trt_sh
TRCN0000148559,MED11,trt_sh
TRCN0000150145,MED11,trt_sh
TRCN0000179297,MED11,trt_sh
TRCN0000021984,MED14,trt_sh
